show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,TV Show,Stranger Things,The Duffer Brothers,"Millie Bobby Brown, Finn Wolfhard, Winona Ryder, David Harbour, Gaten Matarazzo",United States,"July 15, 2016",2022,TV-14,4 Seasons,"Sci-Fi & Fantasy, TV Dramas, TV Mysteries","When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces and one strange little girl."
s2,TV Show,Squid Game,Hwang Dong-hyuk,"Lee Jung-jae, Park Hae-soo, Wi Ha-joon, Jung Ho-yeon, O Yeong-su",South Korea,"September 17, 2021",2021,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Thrillers, Sci-Fi & Fantasy",Hundreds of cash-strapped players accept a strange invitation to compete in children's games with high stakes and deadly consequences for a tempting prize.
s3,TV Show,Dark,Baran bo Odar,"Louis Hofmann, Oliver Masucci, Jordis Triebel, Maja Schone, Karoline Eichhorn",Germany,"December 1, 2017",2020,TV-MA,3 Seasons,"International TV Shows, TV Dramas, TV Mysteries, Sci-Fi & Fantasy",A missing child sets four families on a frantic hunt for answers as they unearth a mind-bending time travel mystery that spans three generations.
s4,TV Show,Black Mirror,Charlie Brooker,"Daniel Kaluuya, Bryce Dallas Howard, Jon Hamm, Hayley Atwell, Anthony Mackie",United Kingdom,"December 4, 2014",2023,TV-MA,6 Seasons,"British TV Shows, TV Dramas, TV Sci-Fi & Fantasy, TV Thrillers","This sci-fi anthology series explores a twisted, high-tech near-future where humanity's greatest innovations and darkest instincts collide."
s5,Movie,Inception,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Tom Hardy, Ken Watanabe","United States, United Kingdom","January 1, 2020",2010,PG-13,148 min,"Action & Adventure, Sci-Fi & Fantasy, Thrillers",A skilled thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO.
s6,Movie,Interstellar,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Michael Caine, Matt Damon","United States, United Kingdom","November 15, 2020",2014,PG-13,169 min,"Action & Adventure, Dramas, Sci-Fi & Fantasy","With humanity on the brink of extinction, a group of astronauts travels through a wormhole near Saturn in search of a new habitable home."
s7,TV Show,Mindhunter,David Fincher,"Jonathan Groff, Holt McCallany, Anna Torv, Sonny Valicenti, Cameron Britton",United States,"October 13, 2017",2019,TV-MA,2 Seasons,"Crime TV Shows, TV Dramas, TV Thrillers",In the late 1970s two FBI agents expand criminal science by delving into the psychology of murder and getting uneasily close to all-too-real monsters.
s8,Movie,Glass Onion: A Knives Out Mystery,Rian Johnson,"Daniel Craig, Edward Norton, Janelle Monae, Kathryn Hahn, Leslie Odom Jr.",United States,"December 23, 2022",2022,PG-13,140 min,"Comedies, Dramas, Thrillers & Mystery",World-famous detective Benoit Blanc heads to Greece to peel back the layers of a mystery surrounding a tech billionaire and his eclectic crew of friends.
s9,TV Show,The Queen's Gambit,Scott Frank,"Anya Taylor-Joy, Bill Camp, Marielle Heller, Thomas Brodie-Sangster, Harry Melling",United States,"October 23, 2020",2020,TV-MA,1 Season,"TV Dramas, Limited Series","In a 1950s orphanage, a young girl reveals an astonishing talent for chess and begins an unlikely journey to stardom while grappling with addiction."
s10,TV Show,Wednesday,Tim Burton,"Jenna Ortega, Gwendoline Christie, Riki Lindhome, Jamie McShane, Hunter Doohan",United States,"November 23, 2022",2022,TV-14,1 Season,"TV Comedies, TV Sci-Fi & Fantasy, TV Mysteries","Smart, sarcastic and a little dead inside, Wednesday Addams investigates a murder spree while making new friends ? and foes ? at Nevermore Academy."
